,precision,recall,f1-score,support
255,1.0,1.0,1.0,7.0
256,1.0,0.9375,0.967741935483871,16.0
257,0.8666666666666667,1.0,0.9285714285714286,13.0
258,1.0,1.0,1.0,13.0
259,0.9285714285714286,0.8125,0.8666666666666667,16.0
260,0.5,0.6666666666666666,0.5714285714285714,9.0
261,1.0,1.0,1.0,8.0
262,1.0,1.0,1.0,17.0
264,1.0,0.8888888888888888,0.9411764705882353,9.0
265,1.0,0.9285714285714286,0.9629629629629629,14.0
266,0.5,0.7777777777777778,0.6086956521739131,9.0
267,1.0,0.8571428571428571,0.9230769230769231,7.0
268,1.0,0.8333333333333334,0.9090909090909091,6.0
269,1.0,1.0,1.0,13.0
270,0.9444444444444444,1.0,0.9714285714285714,17.0
271,1.0,1.0,1.0,12.0
272,1.0,1.0,1.0,12.0
273,1.0,1.0,1.0,13.0
274,0.95,1.0,0.9743589743589743,19.0
275,1.0,1.0,1.0,8.0
276,0.8,0.9230769230769231,0.8571428571428571,13.0
277,0.8095238095238095,0.9444444444444444,0.8717948717948718,18.0
278,1.0,0.8333333333333334,0.9090909090909091,12.0
279,1.0,1.0,1.0,3.0
280,1.0,1.0,1.0,15.0
281,0.8,0.75,0.7741935483870968,16.0
282,1.0,1.0,1.0,13.0
283,0.9411764705882353,1.0,0.9696969696969697,16.0
284,1.0,1.0,1.0,15.0
286,1.0,1.0,1.0,13.0
287,1.0,0.8571428571428571,0.9230769230769231,7.0
288,0.8571428571428571,0.6666666666666666,0.75,9.0
289,0.9230769230769231,1.0,0.96,12.0
290,0.9375,0.9375,0.9375,16.0
291,1.0,1.0,1.0,7.0
292,0.9285714285714286,1.0,0.9629629629629629,13.0
293,1.0,1.0,1.0,11.0
294,0.4666666666666667,0.6363636363636364,0.5384615384615384,11.0
295,1.0,1.0,1.0,14.0
296,1.0,1.0,1.0,11.0
297,1.0,0.8125,0.896551724137931,16.0
298,1.0,0.9333333333333333,0.9655172413793104,15.0
299,0.7368421052631579,0.7368421052631579,0.7368421052631579,19.0
300,0.7,0.5,0.5833333333333334,14.0
301,0.9545454545454546,0.9545454545454546,0.9545454545454546,22.0
302,1.0,0.8666666666666667,0.9285714285714286,15.0
303,1.0,1.0,1.0,15.0
304,1.0,1.0,1.0,11.0
305,1.0,0.9230769230769231,0.96,13.0
306,0.9375,0.9375,0.9375,16.0
307,0.8333333333333334,0.7692307692307693,0.8,13.0
308,0.5384615384615384,0.4117647058823529,0.4666666666666667,17.0
309,1.0,1.0,1.0,13.0
310,0.8421052631578947,0.5517241379310345,0.6666666666666666,29.0
311,0.75,0.5625,0.6428571428571429,16.0
312,0.7333333333333333,1.0,0.8461538461538461,11.0
313,0.7647058823529411,0.7222222222222222,0.7428571428571429,18.0
314,0.7272727272727273,0.7272727272727273,0.7272727272727273,11.0
315,1.0,1.0,1.0,19.0
316,1.0,1.0,1.0,15.0
317,0.9090909090909091,0.8,0.851063829787234,25.0
318,1.0,0.7777777777777778,0.875,9.0
319,0.7142857142857143,0.5,0.5882352941176471,20.0
320,1.0,1.0,1.0,10.0
321,0.8461538461538461,0.6111111111111112,0.7096774193548387,18.0
322,0.6,1.0,0.75,12.0
323,0.8888888888888888,1.0,0.9411764705882353,8.0
324,0.8888888888888888,0.6153846153846154,0.7272727272727273,13.0
325,0.9,0.9,0.9,10.0
326,1.0,0.8125,0.896551724137931,16.0
327,1.0,1.0,1.0,17.0
328,0.7241379310344828,0.65625,0.6885245901639344,32.0
329,1.0,1.0,1.0,13.0
